city,url,from_lat,from_lon,to_lat,to_lon,car_maker,car_model,dep_date,arive_date,distance_m,duration_s,price,currency
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193046355-berlin-dresden,52.46669,13.488654,51.084884,13.694924,,,2021-05-13T10:00:00,2021-05-13T11:50:00,178662,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192809810-berlin-dresden,52.451503,13.320846,51.056018,13.7081312,,,2021-05-13T12:00:37,2021-05-13T14:00:37,192747,7200,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2191155110-berlin-dresden,52.5073,13.280596,51.040502,13.731419,FORD,FUSION,2021-05-13T16:10:00,2021-05-13T18:30:00,196844,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193029340-berlin-dresden-1,52.435094,13.541023,51.042667,13.796564,FORD,FOCUS,2021-05-13T19:00:00,2021-05-13T21:00:00,180748,7200,10.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192645585-schoenefeld-dresden,52.38621,13.489772,51.084584,13.693945,SKODA,FABIA,2021-05-12T16:00:00,2021-05-12T18:10:00,175525,7800,9.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193435100-neuenhagen-bei-berlin-dresden,52.520812,13.699738,51.065486,13.740971,,,2021-05-12T16:30:00,2021-05-12T18:50:00,201180,8400,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193584576-berlin-dresden,52.571338,13.565649,51.065486,13.740971,,,2021-05-12T17:00:00,2021-05-12T19:30:00,214728,9000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193475090-gruenheide-drazdany,52.392216,13.790521,51.056018,13.708131,,,2021-05-12T18:00:00,2021-05-12T19:50:00,191765,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193364950-berlin-dresden-1,52.4786084,13.3207681,51.040502,13.731419,,,2021-05-12T21:20:00,2021-05-12T23:40:00,194244,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192422725-schoenefeld-dresden,52.364441,13.509853,51.085411,13.692314,VOLKSWAGEN,PASSAT,2021-05-12T22:20:00,2021-05-13T00:00:00,167673,6000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193046355-berlin-dresden,52.46669,13.488654,51.084884,13.694924,,,2021-05-13T10:00:00,2021-05-13T11:50:00,178662,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192809810-berlin-dresden,52.451503,13.320846,51.056018,13.7081312,,,2021-05-13T12:00:37,2021-05-13T14:00:37,192747,7200,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2191155110-berlin-dresden,52.5073,13.280596,51.040502,13.731419,FORD,FUSION,2021-05-13T16:10:00,2021-05-13T18:30:00,196844,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193029340-berlin-dresden-1,52.435094,13.541023,51.042667,13.796564,FORD,FOCUS,2021-05-13T19:00:00,2021-05-13T21:00:00,180748,7200,10.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192645585-schoenefeld-dresden,52.38621,13.489772,51.084584,13.693945,SKODA,FABIA,2021-05-12T16:00:00,2021-05-12T18:10:00,175525,7800,9.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193435100-neuenhagen-bei-berlin-dresden,52.520812,13.699738,51.065486,13.740971,,,2021-05-12T16:30:00,2021-05-12T18:50:00,201180,8400,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193584576-berlin-dresden,52.571338,13.565649,51.065486,13.740971,,,2021-05-12T17:00:00,2021-05-12T19:30:00,214728,9000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193475090-gruenheide-drazdany,52.392216,13.790521,51.056018,13.708131,,,2021-05-12T18:00:00,2021-05-12T19:50:00,191765,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193364950-berlin-dresden-1,52.4786084,13.3207681,51.040502,13.731419,,,2021-05-12T21:20:00,2021-05-12T23:40:00,194244,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192422725-schoenefeld-dresden,52.364441,13.509853,51.085411,13.692314,VOLKSWAGEN,PASSAT,2021-05-12T22:20:00,2021-05-13T00:00:00,167673,6000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193046355-berlin-dresden,52.46669,13.488654,51.084884,13.694924,,,2021-05-13T10:00:00,2021-05-13T11:50:00,178662,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192809810-berlin-dresden,52.451503,13.320846,51.056018,13.7081312,,,2021-05-13T12:00:37,2021-05-13T14:00:37,192747,7200,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2191155110-berlin-dresden,52.5073,13.280596,51.040502,13.731419,FORD,FUSION,2021-05-13T16:10:00,2021-05-13T18:30:00,196844,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193029340-berlin-dresden-1,52.435094,13.541023,51.042667,13.796564,FORD,FOCUS,2021-05-13T19:00:00,2021-05-13T21:00:00,180748,7200,10.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192645585-schoenefeld-dresden,52.38621,13.489772,51.084584,13.693945,SKODA,FABIA,2021-05-12T16:00:00,2021-05-12T18:10:00,175525,7800,9.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193435100-neuenhagen-bei-berlin-dresden,52.520812,13.699738,51.065486,13.740971,,,2021-05-12T16:30:00,2021-05-12T18:50:00,201180,8400,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193584576-berlin-dresden,52.571338,13.565649,51.065486,13.740971,,,2021-05-12T17:00:00,2021-05-12T19:30:00,214728,9000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193475090-gruenheide-drazdany,52.392216,13.790521,51.056018,13.708131,,,2021-05-12T18:00:00,2021-05-12T19:50:00,191765,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193364950-berlin-dresden-1,52.4786084,13.3207681,51.040502,13.731419,,,2021-05-12T21:20:00,2021-05-12T23:40:00,194244,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192422725-schoenefeld-dresden,52.364441,13.509853,51.085411,13.692314,VOLKSWAGEN,PASSAT,2021-05-12T22:20:00,2021-05-13T00:00:00,167673,6000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193046355-berlin-dresden,52.46669,13.488654,51.084884,13.694924,,,2021-05-13T10:00:00,2021-05-13T11:50:00,178662,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192809810-berlin-dresden,52.451503,13.320846,51.056018,13.7081312,,,2021-05-13T12:00:37,2021-05-13T14:00:37,192747,7200,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2191155110-berlin-dresden,52.5073,13.280596,51.040502,13.731419,FORD,FUSION,2021-05-13T16:10:00,2021-05-13T18:30:00,196844,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193029340-berlin-dresden-1,52.435094,13.541023,51.042667,13.796564,FORD,FOCUS,2021-05-13T19:00:00,2021-05-13T21:00:00,180748,7200,10.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192645585-schoenefeld-dresden,52.38621,13.489772,51.084584,13.693945,SKODA,FABIA,2021-05-12T16:00:00,2021-05-12T18:10:00,175525,7800,9.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193435100-neuenhagen-bei-berlin-dresden,52.520812,13.699738,51.065486,13.740971,,,2021-05-12T16:30:00,2021-05-12T18:50:00,201180,8400,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193584576-berlin-dresden,52.571338,13.565649,51.065486,13.740971,,,2021-05-12T17:00:00,2021-05-12T19:30:00,214728,9000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193475090-gruenheide-drazdany,52.392216,13.790521,51.056018,13.708131,,,2021-05-12T18:00:00,2021-05-12T19:50:00,191765,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193364950-berlin-dresden-1,52.4786084,13.3207681,51.040502,13.731419,,,2021-05-12T21:20:00,2021-05-12T23:40:00,194244,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192422725-schoenefeld-dresden,52.364441,13.509853,51.085411,13.692314,VOLKSWAGEN,PASSAT,2021-05-12T22:20:00,2021-05-13T00:00:00,167673,6000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193046355-berlin-dresden,52.46669,13.488654,51.084884,13.694924,,,2021-05-13T10:00:00,2021-05-13T11:50:00,178662,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192809810-berlin-dresden,52.451503,13.320846,51.056018,13.7081312,,,2021-05-13T12:00:37,2021-05-13T14:00:37,192747,7200,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2191155110-berlin-dresden,52.5073,13.280596,51.040502,13.731419,FORD,FUSION,2021-05-13T16:10:00,2021-05-13T18:30:00,196844,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193029340-berlin-dresden-1,52.435094,13.541023,51.042667,13.796564,FORD,FOCUS,2021-05-13T19:00:00,2021-05-13T21:00:00,180748,7200,10.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192645585-schoenefeld-dresden,52.38621,13.489772,51.084584,13.693945,SKODA,FABIA,2021-05-12T16:00:00,2021-05-12T18:10:00,175525,7800,9.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193435100-neuenhagen-bei-berlin-dresden,52.520812,13.699738,51.065486,13.740971,,,2021-05-12T16:30:00,2021-05-12T18:50:00,201180,8400,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193584576-berlin-dresden,52.571338,13.565649,51.065486,13.740971,,,2021-05-12T17:00:00,2021-05-12T19:30:00,214728,9000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193475090-gruenheide-drazdany,52.392216,13.790521,51.056018,13.708131,,,2021-05-12T18:00:00,2021-05-12T19:50:00,191765,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193364950-berlin-dresden-1,52.4786084,13.3207681,51.040502,13.731419,,,2021-05-12T21:20:00,2021-05-12T23:40:00,194244,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192422725-schoenefeld-dresden,52.364441,13.509853,51.085411,13.692314,VOLKSWAGEN,PASSAT,2021-05-12T22:20:00,2021-05-13T00:00:00,167673,6000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193046355-berlin-dresden,52.46669,13.488654,51.084884,13.694924,,,2021-05-13T10:00:00,2021-05-13T11:50:00,178662,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192809810-berlin-dresden,52.451503,13.320846,51.056018,13.7081312,,,2021-05-13T12:00:37,2021-05-13T14:00:37,192747,7200,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2191155110-berlin-dresden,52.5073,13.280596,51.040502,13.731419,FORD,FUSION,2021-05-13T16:10:00,2021-05-13T18:30:00,196844,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193029340-berlin-dresden-1,52.435094,13.541023,51.042667,13.796564,FORD,FOCUS,2021-05-13T19:00:00,2021-05-13T21:00:00,180748,7200,10.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192645585-schoenefeld-dresden,52.38621,13.489772,51.084584,13.693945,SKODA,FABIA,2021-05-12T16:00:00,2021-05-12T18:10:00,175525,7800,9.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193435100-neuenhagen-bei-berlin-dresden,52.520812,13.699738,51.065486,13.740971,,,2021-05-12T16:30:00,2021-05-12T18:50:00,201180,8400,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193584576-berlin-dresden,52.571338,13.565649,51.065486,13.740971,,,2021-05-12T17:00:00,2021-05-12T19:30:00,214728,9000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193475090-gruenheide-drazdany,52.392216,13.790521,51.056018,13.708131,,,2021-05-12T18:00:00,2021-05-12T19:50:00,191765,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193364950-berlin-dresden-1,52.4786084,13.3207681,51.040502,13.731419,,,2021-05-12T21:20:00,2021-05-12T23:40:00,194244,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192422725-schoenefeld-dresden,52.364441,13.509853,51.085411,13.692314,VOLKSWAGEN,PASSAT,2021-05-12T22:20:00,2021-05-13T00:00:00,167673,6000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193046355-berlin-dresden,52.46669,13.488654,51.084884,13.694924,,,2021-05-13T10:00:00,2021-05-13T11:50:00,178662,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192809810-berlin-dresden,52.451503,13.320846,51.056018,13.7081312,,,2021-05-13T12:00:37,2021-05-13T14:00:37,192747,7200,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2191155110-berlin-dresden,52.5073,13.280596,51.040502,13.731419,FORD,FUSION,2021-05-13T16:10:00,2021-05-13T18:30:00,196844,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193029340-berlin-dresden-1,52.435094,13.541023,51.042667,13.796564,FORD,FOCUS,2021-05-13T19:00:00,2021-05-13T21:00:00,180748,7200,10.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192645585-schoenefeld-dresden,52.38621,13.489772,51.084584,13.693945,SKODA,FABIA,2021-05-12T16:00:00,2021-05-12T18:10:00,175525,7800,9.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193435100-neuenhagen-bei-berlin-dresden,52.520812,13.699738,51.065486,13.740971,,,2021-05-12T16:30:00,2021-05-12T18:50:00,201180,8400,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193584576-berlin-dresden,52.571338,13.565649,51.065486,13.740971,,,2021-05-12T17:00:00,2021-05-12T19:30:00,214728,9000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193475090-gruenheide-drazdany,52.392216,13.790521,51.056018,13.708131,,,2021-05-12T18:00:00,2021-05-12T19:50:00,191765,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193364950-berlin-dresden-1,52.4786084,13.3207681,51.040502,13.731419,,,2021-05-12T21:20:00,2021-05-12T23:40:00,194244,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192422725-schoenefeld-dresden,52.364441,13.509853,51.085411,13.692314,VOLKSWAGEN,PASSAT,2021-05-12T22:20:00,2021-05-13T00:00:00,167673,6000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193046355-berlin-dresden,52.46669,13.488654,51.084884,13.694924,,,2021-05-13T10:00:00,2021-05-13T11:50:00,178662,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192809810-berlin-dresden,52.451503,13.320846,51.056018,13.7081312,,,2021-05-13T12:00:37,2021-05-13T14:00:37,192747,7200,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2191155110-berlin-dresden,52.5073,13.280596,51.040502,13.731419,FORD,FUSION,2021-05-13T16:10:00,2021-05-13T18:30:00,196844,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193029340-berlin-dresden-1,52.435094,13.541023,51.042667,13.796564,FORD,FOCUS,2021-05-13T19:00:00,2021-05-13T21:00:00,180748,7200,10.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192645585-schoenefeld-dresden,52.38621,13.489772,51.084584,13.693945,SKODA,FABIA,2021-05-12T16:00:00,2021-05-12T18:10:00,175525,7800,9.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193435100-neuenhagen-bei-berlin-dresden,52.520812,13.699738,51.065486,13.740971,,,2021-05-12T16:30:00,2021-05-12T18:50:00,201180,8400,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193584576-berlin-dresden,52.571338,13.565649,51.065486,13.740971,,,2021-05-12T17:00:00,2021-05-12T19:30:00,214728,9000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193475090-gruenheide-drazdany,52.392216,13.790521,51.056018,13.708131,,,2021-05-12T18:00:00,2021-05-12T19:50:00,191765,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193364950-berlin-dresden-1,52.4786084,13.3207681,51.040502,13.731419,,,2021-05-12T21:20:00,2021-05-12T23:40:00,194244,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192422725-schoenefeld-dresden,52.364441,13.509853,51.085411,13.692314,VOLKSWAGEN,PASSAT,2021-05-12T22:20:00,2021-05-13T00:00:00,167673,6000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193046355-berlin-dresden,52.46669,13.488654,51.084884,13.694924,,,2021-05-13T10:00:00,2021-05-13T11:50:00,178662,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192809810-berlin-dresden,52.451503,13.320846,51.056018,13.7081312,,,2021-05-13T12:00:37,2021-05-13T14:00:37,192747,7200,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2191155110-berlin-dresden,52.5073,13.280596,51.040502,13.731419,FORD,FUSION,2021-05-13T16:10:00,2021-05-13T18:30:00,196844,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193029340-berlin-dresden-1,52.435094,13.541023,51.042667,13.796564,FORD,FOCUS,2021-05-13T19:00:00,2021-05-13T21:00:00,180748,7200,10.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192645585-schoenefeld-dresden,52.38621,13.489772,51.084584,13.693945,SKODA,FABIA,2021-05-12T16:00:00,2021-05-12T18:10:00,175525,7800,9.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193435100-neuenhagen-bei-berlin-dresden,52.520812,13.699738,51.065486,13.740971,,,2021-05-12T16:30:00,2021-05-12T18:50:00,201180,8400,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193584576-berlin-dresden,52.571338,13.565649,51.065486,13.740971,,,2021-05-12T17:00:00,2021-05-12T19:30:00,214728,9000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193475090-gruenheide-drazdany,52.392216,13.790521,51.056018,13.708131,,,2021-05-12T18:00:00,2021-05-12T19:50:00,191765,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193364950-berlin-dresden-1,52.4786084,13.3207681,51.040502,13.731419,,,2021-05-12T21:20:00,2021-05-12T23:40:00,194244,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192422725-schoenefeld-dresden,52.364441,13.509853,51.085411,13.692314,VOLKSWAGEN,PASSAT,2021-05-12T22:20:00,2021-05-13T00:00:00,167673,6000,8.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193046355-berlin-dresden,52.46669,13.488654,51.084884,13.694924,,,2021-05-13T10:00:00,2021-05-13T11:50:00,178662,6600,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192809810-berlin-dresden,52.451503,13.320846,51.056018,13.7081312,,,2021-05-13T12:00:37,2021-05-13T14:00:37,192747,7200,7.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2191155110-berlin-dresden,52.5073,13.280596,51.040502,13.731419,FORD,FUSION,2021-05-13T16:10:00,2021-05-13T18:30:00,196844,8400,11.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193029340-berlin-dresden-1,52.435094,13.541023,51.042667,13.796564,FORD,FOCUS,2021-05-13T19:00:00,2021-05-13T21:00:00,180748,7200,10.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2192645585-schoenefeld-dresden,52.38621,13.489772,51.084584,13.693945,SKODA,FABIA,2021-05-12T16:00:00,2021-05-12T18:10:00,175525,7800,9.00,EUR
Berlin,https://www.blablacar.de/trip?source=CARPOOLING&id=2193435100-neuenhagen-bei-berlin-dresden,52.520812,13.699738,51.065486,13.740971,,,2021-05-12T16:30:00,2021-05-12T18:50:00,201180,8400,8.00,EUR
